"Block.Group.ID","Average.Block.Group.Score","Population","Population.3.Mile","Households.3.Mile","Percent.Kids.under.5","Percent.Kids.under.5.3.Mile","Percent.Kids.5.to.9","Percent.Kids.5.to.9.3 Mile","Average.Age","Household.income.under.40K.3Mile","Household.income.40K.to.50K.3.Mile","Household.income.50K.to.60K.3.Mile","Household.income.60K.to.75K.3.Mile","Household.income.75K.to.100K.3.Mile","Household.income.100:.125K.3.Mile","Household.income.125K.to.150K.3.Mile","Household.income.150K.to.200K.3.Mile","Household.income.200K+.3Mile","Score"
"530530719025",NA,1110,47169,17087,0.007,0.094,0.032,0.084,59,0.385,0.104,0.085,0.107,0.135,0.074,0.05,0.03,0.028,2.84820667483037
"530530721073",NA,708,68154,26571,0.017,0.071,0.054,0.066,57.3,0.356,0.094,0.089,0.117,0.123,0.082,0.061,0.045,0.033,2.85442006077702
"530330011001",NA,1434,187218,80194,0.046,0.055,0.043,0.049,38.9,0.245,0.065,0.063,0.082,0.123,0.098,0.074,0.105,0.145,2.31103362015831
"530330297004",NA,951,105303,35773,0.05,0.078,0.046,0.078,41.6,0.311,0.085,0.082,0.123,0.13,0.097,0.068,0.058,0.047,2.83754357374913
"530330087003",NA,1374,208166,110391,0.02,0.035,0.041,0.03,35.1,0.259,0.058,0.057,0.077,0.114,0.096,0.08,0.096,0.162,2.83888114066917
"530530611007",NA,1334,119944,50996,0.124,0.058,0.043,0.06,27.5,0.329,0.091,0.078,0.102,0.135,0.094,0.057,0.059,0.054,5.06285173907401
"530530712061",NA,728,64964,24627,0,0.055,0.023,0.055,59.5,0.259,0.091,0.08,0.118,0.138,0.121,0.066,0.078,0.049,2.83756700519068
"530330203004",NA,1470,67379,27414,0.112,0.06,0.05,0.051,40.1,0.253,0.062,0.057,0.087,0.146,0.118,0.08,0.106,0.091,5.1064513298914
"530330312052",NA,2172,68619,23671,0.076,0.074,0.144,0.081,29.6,0.287,0.082,0.082,0.112,0.15,0.101,0.071,0.069,0.046,4.51022107651664
"530670126203",NA,780,3612,1351,0.063,0.046,0.065,0.05,39.7,0.32,0.119,0.062,0.115,0.139,0.12,0.044,0.059,0.021,4.98442440057207
"530530714093",NA,1157,57919,20050,0.059,0.065,0.056,0.074,40.1,0.258,0.07,0.102,0.125,0.185,0.085,0.084,0.06,0.03,3.41260365773566
"530330036001",NA,1566,252590,108175,0.054,0.051,0.049,0.044,30.2,0.217,0.061,0.058,0.086,0.117,0.099,0.082,0.105,0.176,3.13380351311492
"530530719022",NA,881,91959,35770,0.023,0.075,0.059,0.066,33.9,0.346,0.098,0.093,0.11,0.127,0.084,0.061,0.045,0.036,2.76055669981201
"530530731143",NA,1227,27986,9286,0.046,0.074,0.092,0.078,43.2,0.244,0.09,0.074,0.129,0.152,0.099,0.097,0.074,0.041,3.70988614110461
"530330204025",NA,1336,72208,28723,0.067,0.065,0.035,0.055,35.3,0.225,0.068,0.057,0.084,0.157,0.116,0.083,0.114,0.095,4.21796908783661
"530330021001",NA,1753,188622,77951,0.064,0.052,0.087,0.047,43.7,0.268,0.064,0.062,0.078,0.116,0.09,0.068,0.098,0.154,2.58240965917197
"530670116242",NA,3663,48891,18464,0.054,0.075,0.081,0.069,37.8,0.221,0.084,0.085,0.133,0.191,0.112,0.075,0.067,0.031,3.91755392301226
"530330013001",NA,1653,231405,100700,0.067,0.055,0.011,0.047,37.9,0.242,0.062,0.063,0.086,0.118,0.101,0.079,0.103,0.146,1.98956422103458
"530330087001",NA,1574,213191,113053,0.035,0.035,0.006,0.03,30.5,0.253,0.058,0.058,0.077,0.115,0.096,0.081,0.098,0.163,2.34522201757315
"530530609052",NA,1053,99468,41624,0,0.063,0.103,0.059,47.8,0.292,0.085,0.077,0.1,0.14,0.101,0.065,0.069,0.071,2.60387854505154
"530330038002",NA,1182,206509,86712,0.062,0.05,0.084,0.046,36.1,0.237,0.065,0.058,0.079,0.11,0.091,0.076,0.108,0.175,2.28950049686179
"530539400022",NA,996,52329,18702,0.124,0.067,0.063,0.07,32.2,0.324,0.08,0.088,0.114,0.147,0.092,0.058,0.057,0.041,5.23027153450416
"530530713043",NA,772,80962,29388,0.03,0.062,0.036,0.059,49.6,0.232,0.077,0.073,0.122,0.143,0.124,0.079,0.091,0.06,2.90051632188488
"530530731101",NA,2000,64563,22476,0.048,0.071,0.056,0.069,43.9,0.21,0.067,0.063,0.104,0.154,0.14,0.099,0.094,0.069,3.90010005290453
"530530717052",NA,1449,104699,37959,0.035,0.079,0.144,0.069,38.5,0.398,0.112,0.106,0.115,0.127,0.061,0.036,0.031,0.014,2.09156035525663
"530330002003",NA,2124,160638,68749,0.075,0.058,0.026,0.046,36.2,0.252,0.07,0.067,0.087,0.131,0.105,0.07,0.102,0.116,2.89229830684345
"530330326024",NA,3573,17718,5818,0.095,0.09,0.098,0.096,37.6,0.071,0.036,0.037,0.042,0.138,0.107,0.125,0.215,0.231,2.50918348658152
"530330089004",NA,1272,189342,97805,0.01,0.035,0.04,0.032,37.4,0.278,0.056,0.057,0.078,0.105,0.093,0.081,0.094,0.158,2.62368606273587
"530330222014",NA,1016,111326,45735,0.11,0.061,0,0.058,38.7,0.192,0.061,0.064,0.08,0.134,0.107,0.09,0.123,0.15,4.85512279021346
"530330251024",NA,1494,91004,35201,0.01,0.062,0.023,0.067,39.8,0.221,0.065,0.069,0.103,0.141,0.117,0.07,0.098,0.116,2.74005876649799
"530330323133",NA,853,79089,30532,0.121,0.069,0.074,0.081,37.3,0.135,0.031,0.037,0.061,0.096,0.118,0.103,0.154,0.264,2.12857183902342
"530330234033",NA,1322,86427,31546,0.079,0.056,0.048,0.065,45.3,0.157,0.049,0.044,0.076,0.109,0.109,0.078,0.13,0.248,4.95131280073121
"530330323221",NA,1124,48473,17634,0.045,0.068,0.074,0.073,44.9,0.106,0.042,0.044,0.051,0.093,0.123,0.084,0.145,0.313,4.35123016131721
"530330294081",NA,977,103813,34865,0.029,0.072,0.018,0.067,44.1,0.27,0.072,0.079,0.116,0.131,0.107,0.084,0.079,0.062,2.72842360835022
"530530723071",NA,1892,90559,36769,0.053,0.074,0.04,0.054,29.3,0.323,0.101,0.098,0.112,0.135,0.082,0.056,0.047,0.047,2.84809045248131
"530330103001",NA,973,115177,42509,0.069,0.055,0.039,0.062,41.7,0.267,0.065,0.06,0.079,0.114,0.093,0.076,0.091,0.155,4.13669417095231
